Time (sec),Rotation_X (deg),Height_Z (mm)
11.567,-3.541,-7.215
11.600,-3.541,-7.215
11.633,-3.541,-7.215
11.667,-3.605,-7.419
11.700,-3.664,-7.598
11.733,-3.664,-7.598
11.767,-3.664,-7.598
11.800,-3.664,-7.598
11.833,-3.716,-7.750
11.867,-3.716,-7.750
11.900,-3.757,-7.880
11.933,-3.757,-7.880
11.967,-3.757,-7.880
12.000,-3.757,-7.880
12.033,-3.757,-7.880
12.067,-3.757,-7.880
12.100,-3.757,-7.880
12.133,-3.757,-7.880
12.167,-3.772,-7.972
12.200,-3.772,-7.972
12.267,-3.784,-8.038
12.300,-3.784,-8.038
12.333,-3.784,-8.038
12.367,-3.784,-8.038
12.400,-3.779,-8.086
12.433,-3.778,-8.116
12.467,-3.778,-8.116
12.500,-3.778,-8.116
12.533,-3.778,-8.116
12.567,-3.778,-8.116
12.600,-3.763,-8.126
12.633,-3.748,-8.129
12.667,-3.748,-8.129
12.700,-3.748,-8.129
12.733,-3.748,-8.129
12.767,-3.748,-8.129
12.800,-3.748,-8.129
12.833,-3.718,-8.106
12.867,-3.690,-8.087
12.900,-3.659,-8.064
12.933,-3.659,-8.064
12.967,-3.659,-8.064
13.000,-3.626,-8.032
13.033,-3.626,-8.032
13.067,-3.596,-7.991
13.100,-3.567,-7.953
13.133,-3.538,-7.918
13.167,-3.538,-7.918
13.200,-3.507,-7.876
13.233,-3.507,-7.876
13.267,-3.478,-7.829
13.300,-3.451,-7.782
13.333,-3.427,-7.742
13.367,-3.406,-7.705
13.400,-3.383,-7.675
13.433,-3.365,-7.642
13.467,-3.365,-7.642
13.500,-3.365,-7.642
13.533,-3.347,-7.608
13.567,-3.347,-7.608
13.600,-3.347,-7.608
13.633,-3.347,-7.608
13.667,-3.332,-7.567
13.700,-3.332,-7.567
13.733,-3.317,-7.528
13.767,-3.317,-7.528
13.800,-3.303,-7.492
13.833,-3.303,-7.492
13.867,-3.284,-7.464
13.900,-3.272,-7.435
13.933,-3.272,-7.435
13.967,-3.259,-7.405
14.000,-3.259,-7.405
14.033,-3.245,-7.378
14.067,-3.245,-7.378
14.100,-3.245,-7.378
14.133,-3.245,-7.378
14.167,-3.230,-7.346
14.200,-3.216,-7.315
14.233,-3.216,-7.315
14.267,-3.216,-7.315
14.300,-3.216,-7.315
14.333,-3.216,-7.315
14.367,-3.216,-7.315
14.400,-3.216,-7.315
14.433,-3.216,-7.315
14.467,-3.216,-7.315
14.500,-3.202,-7.284
14.533,-3.189,-7.259
14.567,-3.189,-7.259
14.600,-3.189,-7.259
14.633,-3.189,-7.259
14.667,-3.189,-7.259
14.700,-3.189,-7.259
14.733,-3.189,-7.259
14.767,-3.189,-7.259
14.800,-3.169,-7.225
14.833,-3.169,-7.225
14.867,-3.169,-7.225
14.900,-3.169,-7.225
14.933,-3.169,-7.225
14.967,-3.169,-7.225
