Time (sec),X (mm),Y (mm),Z (mm)
28.233,-0.633,-1.519,-10.140
28.267,-0.532,-1.474,-10.177
28.300,-0.425,-1.424,-10.232
28.333,-0.349,-1.356,-10.273
28.367,-0.250,-1.307,-10.299
28.400,-0.160,-1.221,-10.331
28.433,-0.101,-0.965,-10.323
28.467,-0.138,-0.660,-10.356
28.500,-0.031,-0.619,-10.363
28.533,0.083,-0.582,-10.352
28.567,0.183,-0.540,-10.297
28.600,0.167,-0.223,-10.265
28.633,0.260,-0.155,-10.261
28.667,0.356,-0.062,-10.343
28.700,0.478,0.146,-10.358
28.733,0.568,0.251,-10.220
28.767,0.714,0.357,-10.214
28.800,0.853,0.461,-10.232
28.833,0.953,0.555,-10.298
28.867,1.037,0.619,-10.416
28.900,1.132,0.670,-10.538
28.933,1.190,0.759,-10.579
28.967,1.261,0.863,-10.589
29.000,1.358,0.965,-10.589
29.033,1.473,1.119,-10.565
29.067,1.550,1.230,-10.619
29.100,1.669,1.352,-10.533
29.133,1.794,1.505,-10.507
29.167,1.900,1.635,-10.471
29.200,1.983,1.709,-10.443
29.233,2.050,1.793,-10.425
29.267,2.122,1.853,-10.398
29.300,2.191,1.974,-10.384
29.333,2.267,2.086,-10.405
29.367,2.346,2.209,-10.353
29.400,2.415,2.295,-10.369
29.433,2.471,2.393,-10.385
29.467,2.593,2.528,-10.376
29.500,2.699,2.657,-10.442
29.533,2.788,2.750,-10.532
29.567,2.898,2.896,-10.524
29.600,3.003,3.046,-10.436
29.633,3.117,3.224,-10.393
29.667,3.212,3.400,-10.321
29.700,3.353,3.568,-10.294
29.733,3.484,3.739,-10.302
29.767,3.614,3.894,-10.291
29.800,3.674,4.048,-10.362
29.833,3.794,4.210,-10.305
29.867,3.924,4.363,-10.284
29.900,4.015,4.501,-10.282
29.933,4.111,4.620,-10.259
29.967,4.219,4.751,-10.250
30.000,4.347,4.882,-10.174
30.033,4.456,5.000,-10.128
30.067,4.582,5.124,-10.102
30.100,4.667,5.257,-10.090
30.133,4.763,5.381,-10.139
30.167,4.822,5.520,-10.153
30.200,4.913,5.644,-10.052
30.233,4.994,5.754,-10.037
30.267,4.981,5.905,-10.008
30.300,4.981,6.009,-9.998
30.333,5.011,6.107,-9.989
30.367,5.036,6.238,-9.965
30.400,5.071,6.370,-10.017
30.433,5.118,6.470,-9.930
30.467,5.193,6.598,-9.834
30.500,5.258,6.694,-9.788
30.533,5.315,6.801,-9.772
30.567,5.403,6.890,-9.750
30.600,5.472,6.984,-9.694
30.633,5.561,7.089,-9.718
30.667,5.660,7.195,-9.717
30.700,5.757,7.280,-9.701
30.733,5.875,7.364,-9.674
30.767,5.987,7.409,-9.678
30.800,6.088,7.487,-9.584
30.833,6.204,7.542,-9.552
30.867,6.337,7.591,-9.605
30.900,6.468,7.645,-9.651
30.933,6.573,7.724,-9.639
30.967,6.672,7.805,-9.622
31.000,6.668,8.226,-9.628
31.033,6.858,8.392,-9.621
31.067,6.987,8.496,-9.609
31.100,7.116,8.603,-9.682
31.133,7.217,8.745,-9.735
31.167,7.315,8.846,-9.874
31.200,7.386,8.935,-9.960
31.233,7.486,9.069,-10.107
31.300,7.604,9.222,-10.051
31.333,7.738,9.359,-10.091
31.367,7.883,9.528,-10.040
31.400,8.071,9.699,-10.095
31.433,8.224,9.855,-10.268
31.467,8.308,9.836,-10.365
31.500,8.378,9.820,-10.464
31.533,8.417,10.083,-10.470
31.567,8.468,10.239,-10.457
31.600,8.543,10.459,-10.473
31.633,8.716,10.644,-10.426
31.667,8.828,10.822,-10.411
31.733,8.970,11.005,-10.373
31.767,9.088,11.168,-10.349
31.867,9.234,11.372,-10.245
31.900,9.332,11.558,-10.181
31.933,9.477,11.739,-10.112
31.967,9.597,11.902,-10.078
32.000,9.680,12.068,-10.070
32.067,9.782,12.246,-10.038
32.100,9.839,12.410,-9.974
32.133,9.943,12.589,-10.071
32.167,10.047,12.759,-10.097
32.200,10.160,12.927,-10.182
32.267,10.296,13.083,-10.188
32.300,10.421,13.228,-10.185
32.333,10.540,13.352,-10.199
32.367,10.629,13.491,-10.288
